Home ID,total_kwh_tahun,household_size,avg_temp,kwh_Air_Conditioning,kwh_Computer,kwh_Dishwasher,kwh_Fridge,kwh_Heater,kwh_Lights,kwh_Microwave,kwh_Oven,kwh_TV,kwh_Washing_Machine,prop_Air_Conditioning,prop_Computer,prop_Dishwasher,prop_Fridge,prop_Heater,prop_Lights,prop_Microwave,prop_Oven,prop_TV,prop_Washing_Machine,kwh_per_orang
24,299.18,5,16.14467005076142,37.93,24.0,19.27,5.53,89.97,25.59,23.34,25.01,25.45,23.09,0.1267798649642356,0.08021926599371618,0.06440938565412127,0.01848385587271877,0.30072197339394346,0.08553379236579986,0.07801323617888897,0.08359516010428507,0.08506584664750319,0.07717761882478777,59.836
25,302.0,2,13.551674641148326,84.09,22.96,20.75,8.24,78.28999999999999,12.39,20.79,15.44,20.85,18.2,0.2784437086092715,0.07602649006622515,0.06870860927152317,0.027284768211920524,0.2592384105960264,0.04102649006622516,0.068841059602649,0.05112582781456953,0.06903973509933774,0.06026490066225164,151.0
26,289.22,2,16.173711340206186,69.96000000000001,21.37,27.580000000000002,6.86,54.74,17.78,26.48,28.17,22.17,14.11,0.24189198533987968,0.07388838946130973,0.09535993361454947,0.023718968259456467,0.18926768549892814,0.06147569324389738,0.09155660051172117,0.09739990318788465,0.0766544498997303,0.048786390982642966,144.61
27,296.74,1,14.56933962264151,56.29,23.29,33.53,4.98,59.65,22.41,25.19,31.39,23.72,16.29,0.18969468221338542,0.07848621689020689,0.11299454067533866,0.016782368403316032,0.20101772595538175,0.07552065781492213,0.08488912853002627,0.10578284019680526,0.07993529689290285,0.05489654242771448,296.74
28,266.03,5,14.0625,47.65,28.14,23.169999999999998,5.43,66.3,19.98,20.26,14.06,18.45,22.59,0.17911513739051987,0.1057775438860279,0.08709544036386874,0.020411231815960607,0.24922001278051348,0.07510431154381086,0.0761568244182987,0.05285118219749653,0.06935308047964515,0.08491523512385822,53.205999999999996
29,278.67,4,17.0994708994709,70.87,21.64,13.48,3.7,57.98,28.36,20.23,17.3,24.01,21.1,0.25431513977105535,0.07765457350988625,0.04837262712168515,0.01327735314170883,0.20805971220439945,0.10176911759428714,0.07259482542074855,0.062080597122043994,0.08615925646822406,0.07571679764596118,69.6675
30,275.02,2,15.505882352941176,60.25,14.14,20.54,4.33,55.01,14.01,26.82,23.09,44.69,12.14,0.21907497636535525,0.05141444258599375,0.07468547741982401,0.01574430950476329,0.20002181659515672,0.05094174969093157,0.09752018035051997,0.08395753036142826,0.16249727292560542,0.044142244200421794,137.51
31,265.61,2,14.744,84.27,14.95,23.09,7.21,42.9,20.48,22.98,14.45,14.53,20.75,0.3172696811114039,0.05628553141824479,0.08693196792289447,0.027145062309401,0.1615150032001807,0.0771055306652611,0.08651782688904786,0.054403072173487436,0.05470426565264862,0.07812205865743006,132.805
32,340.37,4,14.853070175438596,77.74,23.7,25.81,4.09,71.79,22.53,24.98,29.38,36.43,23.92,0.22839850750653698,0.06963010841143462,0.0758292446455328,0.012016335164673736,0.2109175309222317,0.06619267267973088,0.07339072186150365,0.08631783059611599,0.1070305843640744,0.07027646384816523,85.0925
33,250.88,4,15.337777777777779,49.68,19.45,14.64,6.77,63.09,13.87,28.22,17.39,19.45,18.32,0.19802295918367346,0.07752710459183673,0.0583545918367347,0.02698501275510204,0.2514748086734694,0.05528539540816326,0.11248405612244898,0.06931600765306123,0.07752710459183673,0.07302295918367348,62.72
34,303.38,3,15.645226130653267,75.77,23.69,18.759999999999998,5.38,74.79,17.79,17.49,28.490000000000002,19.55,21.67,0.2497527852857802,0.0780868877315578,0.06183664051684356,0.01773353550003296,0.24652251301997496,0.05863933021293427,0.05765047135605511,0.09390862944162437,0.06444063550662536,0.07142857142857144,101.12666666666667
35,314.41,4,14.952879581151832,97.13,16.63,36.32,5.24,63.74,18.59,22.07,18.51,21.82,14.36,0.3089278330841894,0.05289271969721064,0.11551795426354122,0.01666613657326421,0.20272892083585126,0.059126618110110996,0.07019496835342387,0.058872173276931394,0.0693998282497376,0.04567284755573932,78.6025
36,269.09,1,13.951832460732986,62.15,24.31,25.0,6.21,56.089999999999996,28.0,23.13,12.73,14.68,16.79,0.23096361812033145,0.09034152142405885,0.09290571927607863,0.02307778066817793,0.20844327176781,0.10405440558920806,0.08595637147422794,0.047307592255379234,0.05455423835891337,0.0623954810658144,269.09
37,295.45,5,14.580208333333333,57.019999999999996,26.7,28.7,3.26,78.92,17.759999999999998,18.78,17.74,23.11,23.46,0.1929937383652056,0.09037062108647825,0.09713995599932307,0.011034015907937044,0.26711795566085633,0.06011169402606194,0.0635640548316128,0.06004400067693349,0.07821966491792182,0.07940429852766966,59.089999999999996
38,270.86,1,14.066995073891626,45.99,25.419999999999998,26.74,5.64,62.42,17.62,27.2,23.05,18.53,18.25,0.1697925127372074,0.09384922099977847,0.09872258731447979,0.020822565162814735,0.23045115557852766,0.06505205641290704,0.10042088163626965,0.08509931329838293,0.06841172561470871,0.06737798124492357,270.86
39,284.63,3,14.26271186440678,62.38,16.95,16.41,4.49,94.96,12.91,14.98,21.19,23.6,16.759999999999998,0.2191617187225521,0.0595509960299336,0.05765379615641359,0.01577486561500896,0.33362611109159257,0.045357130309524644,0.05262972982468468,0.07444752837016479,0.0829146611390226,0.058883462741102476,94.87666666666667
40,317.26,3,14.285,73.03999999999999,29.53,24.47,8.56,90.22,13.31,16.0,23.25,19.42,19.46,0.2302212696211309,0.09307823236462208,0.07712916850532686,0.026981025026791908,0.2843724390090147,0.041952972325537415,0.05043182247998487,0.07328374204122802,0.061211624535081645,0.0613377040912816,105.75333333333333
41,307.47,3,14.987562189054726,78.74,33.53,19.01,6.91,59.06,17.95,17.16,22.76,31.79,20.56,0.2560900250430936,0.10905128955670472,0.061827170130419225,0.022473737275181316,0.19208378053143396,0.05837967931830747,0.05581032295833739,0.07402348196572023,0.10339220086512504,0.06686831235567697,102.49000000000001
42,283.32,3,15.615270935960591,54.08,28.2,21.65,6.08,66.8,21.25,13.29,23.41,30.87,17.69,0.19087957080333193,0.09953409572215163,0.07641536072285754,0.02145983340392489,0.23577580121417477,0.0750035295778625,0.04690808979246082,0.0826274177608358,0.10895806861499366,0.06243823238740647,94.44
43,284.53000000000003,4,13.401562499999999,48.83,19.89,26.330000000000002,6.05,73.56,20.18,24.42,18.79,29.15,17.33,0.1716163497697958,0.06990475521034689,0.09253857238252558,0.021263135697465997,0.25853161353811555,0.07092397989667171,0.08582574772431731,0.06603873053808035,0.10244965381506345,0.06090746142761747,71.13250000000001
44,272.21,1,13.875520833333333,59.24,26.69,25.44,4.53,55.52,12.290000000000001,18.82,25.240000000000002,28.26,16.18,0.217626097498255,0.09804930017266081,0.09345725726461188,0.01664156349876933,0.20396017780390138,0.045148965871937105,0.06913779802358472,0.09272253039932404,0.10381690606517026,0.05943940340178538,272.21
45,353.58,1,17.028110599078342,90.6,20.05,17.96,5.7299999999999995,103.46,20.939999999999998,21.71,28.23,18.28,26.62,0.25623621245545564,0.056705696023530754,0.0507947282086091,0.01620566774138809,0.2926070479099497,0.0592228067198371,0.06140053170428193,0.0798404887154251,0.05169975677357318,0.07528706374794956,353.58
46,296.91,5,13.178109452736319,76.25,23.08,19.68,2.78,60.59,29.68,9.97,26.72,21.79,26.37,0.2568118285002189,0.07773399346603346,0.06628271193290895,0.009363106665319455,0.20406857296823952,0.09996295173621635,0.033579199083897476,0.08999360075443737,0.07338924253140681,0.08881479236132162,59.382000000000005
47,301.22,2,13.728497409326424,91.59,26.21,26.71,6.53,53.02,14.14,18.4,22.419999999999998,20.3,21.9,0.3040634752008499,0.08701281455414649,0.08867273089436294,0.02167850740322688,0.1760175287165527,0.0469424341013213,0.06108492131996548,0.07443064869530576,0.06739260341278801,0.07270433570148065,150.61
48,327.29,1,14.68578431372549,73.17,18.28,21.29,7.08,100.08,24.21,23.5,18.1,17.39,24.19,0.2235632008310673,0.05585260777903389,0.06504934461792294,0.021632191634330413,0.3057838614073146,0.07397109596993492,0.07180176601790463,0.055302636805279734,0.05313330685324942,0.07390998808396225,327.29
49,297.86,2,14.353403141361257,88.67,24.51,10.959999999999999,5.7,66.62,23.98,17.32,23.46,18.57,18.07,0.2976901900221581,0.08228698046061908,0.03679581011213321,0.0191365070838649,0.22366212314510173,0.0805076210300141,0.058148123279393005,0.0787618344188545,0.06234472571006513,0.06066608473779628,148.93
50,320.82,1,13.56281407035176,77.44,21.98,13.79,7.3,93.48,15.25,14.85,20.14,29.72,26.87,0.2413814600087276,0.06851193815846891,0.04298360451343432,0.022754192382021067,0.2913783429960725,0.047534442989838534,0.04628763792780998,0.06277663487313757,0.09263761610872139,0.08375413004176796,320.82
51,307.74,3,15.565217391304348,78.17999999999999,23.21,22.73,6.31,66.38,21.53,22.83,23.22,22.08,21.27,0.2540456229284461,0.07542080977448497,0.07386105153701178,0.020504321830116332,0.21570156625723014,0.0699616559433288,0.07418600116981869,0.07545330473776565,0.07174887892376682,0.06911678689803082,102.58
52,301.9,3,13.95962441314554,74.22,19.99,29.75,8.81,74.55,17.08,23.27,14.32,17.71,22.2,0.24584299436899637,0.06621397813845645,0.09854256376283538,0.029181848294137135,0.24693607154686983,0.056575024842663135,0.07707850281550183,0.04743292480953959,0.058661808545876125,0.07353428287512422,100.63333333333333
53,257.83,1,13.157386363636363,50.46,19.65,27.37,4.75,58.67,27.97,10.01,20.91,18.259999999999998,19.78,0.19571035178218202,0.07621300857153937,0.10615521855486172,0.018422991893883564,0.2275530388240313,0.1084823333204049,0.03882403133847884,0.08109994957918007,0.07082185936469765,0.0767172167707404,257.83
54,290.6,4,15.132994923857867,53.01,16.36,22.580000000000002,6.65,78.9,26.01,18.2,21.06,20.66,27.17,0.18241569167240188,0.056297315898141756,0.0777013076393668,0.02288368891947694,0.2715072264280798,0.08950447350309702,0.06262904335856846,0.07247075017205779,0.07109428768066069,0.09349621472814863,72.65
55,296.55,4,15.473366834170854,75.3,22.93,18.16,6.35,62.47,33.839999999999996,21.53,16.54,19.66,19.77,0.25392008093070306,0.07732254257292193,0.06123756533468218,0.02141291519136739,0.21065587590625526,0.1141122913505311,0.07260158489293543,0.05577474287641207,0.06629573427752487,0.06666666666666667,74.1375
56,283.45,5,15.170443349753695,47.78,21.8,26.83,5.92,62.81,24.17,17.87,27.13,21.18,27.96,0.16856588463573824,0.07690950784970894,0.0946551420003528,0.020885517727994355,0.22159110954312933,0.08527077085905804,0.06304462868230729,0.09571352972305522,0.07472217322279062,0.09864173575586524,56.69
57,320.25,2,15.69502487562189,94.33,15.030000000000001,11.69,5.31,70.82,18.97,31.36,28.61,27.53,16.6,0.2945511319281811,0.046932084309133495,0.03650273224043716,0.0165807962529274,0.2211397345823575,0.05923497267759562,0.09792349726775956,0.08933645589383295,0.0859640905542545,0.05183450429352069,160.125
58,286.96999999999997,4,16.93978494623656,73.82,17.84,20.580000000000002,5.84,59.6,28.95,15.879999999999999,16.38,27.080000000000002,21.0,0.2572394326933129,0.062166777015019,0.07171481339512842,0.020350559291912047,0.2076872146914312,0.10088162525699551,0.055336794786911524,0.05707913719204098,0.09436526466181136,0.07317838101543717,71.74249999999999
59,297.25,5,14.2585,98.31,23.43,14.65,5.34,52.06,20.59,19.23,14.870000000000001,25.41,23.36,0.33073170731707313,0.0788225399495374,0.04928511354079057,0.01796467619848612,0.1751387720773759,0.06926829268292682,0.06469301934398654,0.05002523128679562,0.08548359966358282,0.07858704793944489,59.45
60,301.14,5,17.050485436893204,71.7,24.72,17.84,7.79,65.39,25.21,11.56,31.28,19.7,25.95,0.2380952380952381,0.08208806535166367,0.05924154878129774,0.025868366872550973,0.21714152885701005,0.0837152155143787,0.03838746098160324,0.10387195324433819,0.06541807797037923,0.08617254433154015,60.227999999999994
61,367.86,3,14.768995633187773,108.58,28.79,20.12,6.48,81.55,21.36,24.02,26.4,27.89,22.67,0.29516663948241184,0.07826346979829284,0.054694720817702394,0.017615397161963794,0.22168759854292397,0.05806556842276954,0.06529658022073616,0.07176643288207471,0.0758168868591312,0.061626705811993705,122.62
62,294.38,1,14.210526315789474,51.15,13.78,17.61,5.64,85.0,25.9,30.83,8.34,25.96,30.17,0.17375501053060668,0.046810245261226985,0.0598206399891297,0.019158910252055166,0.28874244174196617,0.08798152048372851,0.10472858210476255,0.02833072898974115,0.08818533867789932,0.10248658196888376,294.38
63,272.63,3,15.630456852791877,68.25,24.94,19.16,7.75,48.18,15.379999999999999,27.25,17.169999999999998,27.26,17.29,0.25033928767927227,0.09147929428162711,0.07027839929574882,0.028426805560649967,0.1767230312144665,0.05641345413197373,0.09995231632615634,0.06297912922275611,0.09998899607526686,0.0634192862120823,90.87666666666667
64,309.28,5,16.56179245283019,88.37,18.04,19.740000000000002,6.11,68.96000000000001,22.14,13.98,22.82,25.92,23.2,0.28572814278323855,0.0583290222452147,0.06382565959648216,0.01975556130367305,0.22296947749612006,0.07158561821003623,0.04520175892395241,0.0737842731505432,0.08380755302638387,0.07501293326435593,61.855999999999995
65,317.35,3,16.089320388349513,53.79,19.37,21.28,6.3,98.83,21.88,17.04,26.740000000000002,24.59,27.53,0.16949740034662045,0.061036710256814244,0.06705530171734678,0.01985189853474082,0.3114227193949897,0.06894595872065543,0.053694658893965644,0.0842602804474555,0.07748542618559949,0.08674964550181187,105.78333333333335
66,296.63,4,14.12807881773399,71.52,25.78,25.12,6.98,62.66,22.8,15.31,14.01,26.080000000000002,26.37,0.2411084516063783,0.08690961804267944,0.084684623942285,0.023530998213262315,0.2112395914101743,0.07686343255908033,0.05161312072278596,0.047230556585645414,0.08792097899740418,0.08889862792030476,74.1575
67,282.77,5,16.6975,52.55,17.39,27.29,7.06,67.59,17.91,25.33,25.23,19.88,22.54,0.1858400820454786,0.06149874456271881,0.09650953071400784,0.024967287901828335,0.2390281854510733,0.06333769494642288,0.08957810234466172,0.08922445804010325,0.07030448774622483,0.07971142624748027,56.553999999999995
68,299.95,2,15.713145539906103,58.4,18.68,29.84,7.04,54.48,19.38,35.52,19.43,30.27,26.91,0.19469911651941987,0.06227704617436238,0.09948324720786796,0.023470578429738286,0.18163027171195195,0.06461076846141023,0.11841973662277046,0.06477746291048507,0.10091681946991163,0.089714952492082,149.975
69,312.13,3,12.943,87.15,23.13,16.66,6.6,76.28,27.79,20.8,15.209999999999999,19.72,18.79,0.2792105853330343,0.07410373882677088,0.05337519623233908,0.021145035722295192,0.24438535225707234,0.08903341556402779,0.06663890045814243,0.048729695960016646,0.06317880370358503,0.060199275942716166,104.04333333333334
70,287.17,4,16.585929648241205,61.5,26.7,13.68,6.2,70.63,23.27,12.27,31.54,20.91,20.47,0.21415886060521647,0.09297628582372812,0.047637288017550586,0.021589998955322636,0.24595187519587702,0.08103214124038027,0.042727304384162695,0.10983041404046386,0.0728140126057736,0.07128181913152488,71.7925
71,292.44,3,14.24904761904762,56.519999999999996,20.61,30.97,5.95,58.88,24.7,24.65,20.61,27.65,21.9,0.19327041444398854,0.07047599507591303,0.10590206538093286,0.02034605389139653,0.20134044590343322,0.08446176993571332,0.08429079469292848,0.07047599507591303,0.09454930926001916,0.074887156339762,97.48
72,288.52,3,17.954143646408838,67.24,18.23,15.58,6.42,68.92,25.71,18.98,17.419999999999998,15.7,34.32,0.23305143490919172,0.06318452793567171,0.05399972272286151,0.022251490364619438,0.2388742548176903,0.08910994038541523,0.06578400110910856,0.060377096908359906,0.054415638430611396,0.11895189241647026,96.17333333333333
73,315.97,5,14.67952380952381,71.84,16.87,26.8,7.06,86.2,20.849999999999998,23.59,23.58,22.45,16.73,0.2273633572807545,0.05339114472892996,0.0848181789410387,0.022343893407601984,0.27281070987752,0.06598727727315883,0.07465898661265309,0.07462733803842135,0.07105104915023577,0.05294806468968573,63.194
74,339.41,4,14.444549763033177,90.98,19.009999999999998,28.4,6.07,72.83,22.0,32.59,31.61,22.11,13.81,0.26805338675937657,0.0560089567190124,0.08367461182640464,0.017883975133319584,0.21457823870834683,0.06481836127397542,0.09601956335994814,0.0931321999941074,0.0651424530803453,0.040688253145163666,84.8525
75,268.95,1,14.446464646464648,35.44,36.64,19.46,7.0,62.78,17.22,26.04,25.919999999999998,19.26,19.19,0.13177170477783975,0.13623350065067857,0.07235545640453617,0.02602714259155977,0.2334262874140175,0.06402677077523704,0.09682097044060234,0.09637479085331846,0.07161182375906303,0.07135155233314744,268.95
76,259.21,3,14.568333333333335,72.27,17.83,17.43,5.42,47.54,22.95,18.14,20.27,17.45,19.91,0.2788086879364222,0.06878592646888623,0.06724277612746422,0.020909687126268277,0.18340341807800625,0.088538250839088,0.0699818679834883,0.07819914355156052,0.06731993364453533,0.0768103082442807,86.40333333333332
77,325.81,1,13.218652849740932,114.23,18.34,20.28,5.44,74.75,15.35,19.31,27.24,18.63,12.24,0.35060311224333207,0.05629047604432032,0.06224486664006631,0.016696847856112463,0.22942819434639825,0.047113348270464386,0.05926767134219331,0.08360701022068077,0.05718056536017925,0.03756790767625304,325.81
78,269.93,3,15.557070707070707,52.62,25.01,20.63,4.98,58.47,20.19,21.5,27.43,17.89,21.21,0.19493942874078468,0.09265365094654172,0.07642722187233729,0.018449227577520103,0.2166117141481125,0.07479716963657246,0.07965027970214501,0.10161893824324826,0.06627644204052904,0.0785759270922091,89.97666666666667
79,297.2,5,16.164432989690724,70.6,31.150000000000002,16.49,6.25,77.11,26.169999999999998,5.0,19.89,25.42,19.12,0.23755047106325702,0.10481157469717362,0.05548452220726782,0.02102960969044414,0.2594549125168236,0.08805518169582771,0.016823687752355314,0.06692462987886943,0.08553162853297443,0.06433378196500672,59.44
80,329.59,1,14.080555555555556,54.08,27.4,22.12,3.11,81.22,31.8,36.38,26.15,30.33,17.0,0.16408264813859644,0.08313359021814982,0.06711368670165965,0.009435965897023574,0.24642737947146456,0.09648350981522498,0.11037956248672595,0.0793409994235262,0.09202342304074759,0.05157923480688128,329.59
81,288.69,3,14.630582524271846,52.92,26.53,14.63,8.33,74.28,32.04,20.02,16.15,14.040000000000001,29.75,0.18331081783227685,0.0918978835429007,0.05067719699331463,0.028854480584710244,0.2573002182271641,0.11098410059233087,0.06934774325400948,0.05594236031729537,0.04863348228203263,0.10305171637396515,96.23
82,323.05,3,14.961538461538462,74.32000000000001,30.56,20.1,6.72,78.28999999999999,22.13,18.23,20.06,16.52,36.12,0.23005726667698503,0.0945983593870918,0.06221947067017491,0.020801733477789817,0.24234638600835784,0.06850332765825724,0.05643089305061137,0.0620956508280452,0.05113759479956664,0.11180931744312027,107.68333333333334
83,326.09,2,13.80728155339806,84.16,27.52,15.290000000000001,4.74,72.74,28.18,21.32,18.62,23.41,30.11,0.2580882578429268,0.08439387899046276,0.046888895703640104,0.014535864331932904,0.22306725137232053,0.0864178600999724,0.06538072311325095,0.057100800392529676,0.07178999662669816,0.09233647152626576,163.045
84,325.73,3,13.346938775510203,95.03999999999999,31.61,18.5,4.2,79.99,25.830000000000002,18.97,16.419999999999998,17.27,17.9,0.2917753968010316,0.09704356368771684,0.05679550547999879,0.012894114757621348,0.24557148558622177,0.07929880575937129,0.05823841832192308,0.05040984864765297,0.05301937187240968,0.054953489086052874,108.57666666666667
85,308.43,3,15.965258215962441,84.69,18.99,15.06,6.21,52.58,17.97,37.910000000000004,24.78,24.61,25.63,0.27458418441785815,0.06156988619784067,0.048827935025775704,0.020134228187919462,0.1704762831112408,0.05826281490127419,0.12291281652238759,0.08034237914599747,0.07979120059656972,0.0830982718931362,102.81
86,308.43,5,17.384821428571428,71.87,27.64,31.88,4.54,44.38,18.58,31.72,28.78,26.66,22.38,0.23301883733748338,0.08961514768342897,0.10336218915150926,0.014719709496482184,0.14389002366825537,0.060240573225691395,0.1028434328696949,0.09331128619135623,0.08643776545731609,0.07256103491878221,61.686
87,292.53,2,13.357000000000001,36.79,26.2,26.63,3.34,76.38,28.240000000000002,17.86,24.5,33.72,18.87,0.12576487881584797,0.08956346357638534,0.0910333982839367,0.011417632379585001,0.26110142549482107,0.09653710730523367,0.061053567155505424,0.08375209380234507,0.11527022869449288,0.064506204491847,146.265
88,307.46,4,15.518691588785046,62.72,23.28,22.23,7.9,64.15,21.03,37.18,21.14,24.61,23.22,0.20399401548168863,0.0757171664606778,0.07230208807649775,0.025694399271449942,0.2086450269953815,0.06839914135172054,0.12092629935601377,0.06875691146815845,0.08004293241397253,0.07552201912443894,76.865
